"","X.log10P","log2FC","feature","SigDiff","norm"
"lardur.220",229.243246894318,0.749483946015962,"lardur.220","UP",229.244472066033
"lardur.224",216.445229403755,0.666219266505345,"lardur.224","UP",216.446254714087
"lardur.232",220.95578576443,1.00199918087081,"lardur.232","UP",220.958057705835
"lardur.235",259.004364805402,1.1990511273265,"lardur.235","UP",259.007140271955
"smldur.236",68.0898115596824,0.664963933767544,"smldur.236","UP",68.093058495461
"smldur.237",50.1356502992145,0.631320551288526,"smldur.237","UP",50.1396250141902
"lardur.237",237.942381435303,1.05415935470724,"lardur.237","UP",237.944716552078
"lardur.239",201.758916235364,0.602704920137591,"lardur.239","UP",201.759816449385
"lardur.241",218.557115812811,0.632268198759176,"lardur.241","UP",218.55803036148
"lardur.243",211.247289416846,0.627529699797339,"lardur.243","UP",211.248221482428
"lardur.244",240.654180884844,1.1424660702719,"lardur.244","UP",240.656892704276
